"","Temperatura.Media..C.","Temperatura.Minima..C.","Temperatura.Maxima..C.","Precipitacao..mm.","beer"
"1",27.3,23.9,32.5,0,25.461
"2",27.02,24.5,33.5,0,28.972
"3",24.82,22.4,29.9,0,30.814
"4",23.98,21.5,28.6,1.2,29.799
"5",23.82,21,28.3,0,28.9
"6",23.78,20.1,30.5,12.2,28.218
"7",24,19.5,33.7,0,29.732
"8",24.9,19.5,32.8,48.6,28.397
"9",28.2,21.9,34,4.4,24.886
"10",26.76,22.1,34.2,0,37.937
"11",27.62,22.2,34.8,3.4,36.254
"12",25.96,21.4,35.4,0,25.743
"13",25.52,21.2,34.8,0.8,26.99
"14",25.96,21.3,34,1.6,31.825
"15",25.86,21.5,32.8,3,25.724
"16",26.5,22.3,32.7,2,29.938
"17",28.86,22,35.8,0,37.69
"18",28.26,23.4,35.6,0,30.524
"19",28.22,22.7,36.5,3.7,29.265
"20",27.68,23.3,35.6,0.6,35.127
"21",25.32,22.7,30.9,0,29.13
"22",21.74,19.2,26.1,31,25.795
"23",21.04,18.5,26.1,3.6,21.784
"24",23.12,19,29.4,13,28.348
"25",24.4,18.1,30,0,31.088
"26",22.4,18.9,28.7,20.8,21.52
"27",23.6,20.5,28.7,1.2,29.972
"28",25.68,20.1,29.9,4.9,22.603
"29",25,21.5,29.2,0,22.696
"30",22.8,20.9,26.9,0,26.845
"31",21.64,18.5,24.3,0.2,27.03
"32",24.16,20.6,28,0,32.057
"33",22.48,20.7,26.5,4.5,24.097
"34",23.16,18,31.1,1.6,31.655
"35",22.12,19.9,23.7,3.2,24.738
"36",20.28,19.1,22.9,5.6,19.95
"37",21.06,17.9,25.4,18.4,22.821
"38",21.86,17.3,28.7,16.7,28.893
"39",22.76,17.1,29.5,10.4,29.926
"40",24,19.3,30.7,0,24.062
"41",23.92,20.1,29,32.2,21.137
"42",25.38,19.9,30.4,2.2,26.805
"43",27.66,23.1,32.7,0,26.389
"44",25.54,22.5,32.1,0,24.219
"45",24.32,21.1,31.6,0,30.231
"46",22.9,20,27.6,17.4,24.968
"47",21.6,18.8,27.3,22.7,25.343
"48",22.76,19.7,28,85.3,17.399
"49",22.22,19.9,26.4,13.4,21.392
"50",23.92,19.9,28.5,2.4,22.922
"51",24.72,21.7,28.2,0,24.567
"52",25.2,21.4,31.1,0,30.943
"53",24.44,20.4,30.8,0,30.825
"54",25.4,20.7,31.4,0,25.692
"55",24.3,20.5,31.9,0,26.959
"56",22.24,19.3,29.3,2,25.366
"57",24.1,19.2,30.3,34.4,22.784
"58",24.64,20.4,31.4,0.6,26.241
"59",22.4,19.7,27.7,0,26.467
"60",21.26,18.2,26.3,3,27.475
"61",22.16,17.2,29.2,0,28.749
"62",23.16,19.5,29.5,0,24.146
"63",23.68,18.9,30.5,0,22.988
"64",24.42,19.7,31.6,0,30.3
"65",22.6,19.4,28.5,0,22.654
"66",21.92,19.4,26.6,38.2,29.09
"67",22.2,19.7,24.4,69.2,24.619
"68",21.36,19.7,23.3,77,20.016
"69",23.12,21.2,26.9,9.7,23.042
"70",22.88,20.1,28.1,9.5,22.933
"71",22.26,19.2,26.9,1.2,22.409
"72",22.34,20,26.6,0,21.281
"73",22.88,19.9,27.9,12.2,28.844
"74",22.08,19.1,26.8,0.3,32.872
"75",21.92,18.6,29.4,22.4,20.903
"76",21.92,18.6,25.6,24.2,26.275
"77",21.24,19.7,24.1,0,20.167
"78",21.78,19.2,27.1,3.2,23.628
"79",21.64,18.9,28.2,7.4,24.213
"80",20.88,18.5,25.3,14.7,28.631
"81",19.7,18.1,22.8,1.7,25.855
"82",19.88,17.1,23.3,19.2,21.406
"83",20.98,17.4,26.3,0,21.617
"84",21.56,17.1,27.9,0,22.401
"85",22.98,18.3,29.8,0,27.989
"86",23.32,18,30.8,0,24.974
"87",23.28,19.1,29.5,0,29.76
"88",22.14,20.5,26.6,0,26.116
"89",22.5,19,25.9,18.6,25.85
"90",23.14,20.1,29,1,24.925
"91",22.52,19.2,27.5,0,21.979
"92",20.92,18.2,26.2,0,22.116
"93",21.02,16.3,27.2,0,24.867
"94",22.36,17.9,29.4,0,33.45
"95",22.82,20.1,26.4,0,32.713
"96",21.36,18.5,27.7,0,22.356
"97",17.38,16.1,20,7.1,21.004
"98",18.68,14.7,24.3,0.4,23.362
"99",19.4,15.9,25.6,0,20.298
"100",20.46,17,25.5,0,24.862
"101",21.74,17.2,28.4,0,30.505
"102",19.92,16.8,25.7,0,25.07
"103",20.88,18.1,25.7,0,22.62
"104",21.7,18.4,28.8,0,22.001
"105",21.94,18.5,27.4,0,23.469
"106",21.26,18.6,26.7,25.4,21.735
"107",21.42,18.4,27,37.2,21.593
"108",23.36,18.2,29.3,0,33.822
"109",22.5,20.3,27.2,0,28.028
"110",24,19.3,29.2,20.2,24.304
"111",22.52,19.3,29,0,31.108
"112",20.06,18.9,21.6,2.4,19.113
"113",21.2,18.6,24.9,14.6,23.198
"114",22.52,19.3,28.1,0,24.388
"115",19.18,17.4,23.3,0,27.42
"116",19.04,16.1,23.7,0.8,30.479
"117",19.82,17.5,24.9,0,21.838
"118",20.26,17.2,26.9,0,20.812
"119",18.66,16.8,22.7,0,19.761
"120",16.22,14.7,18.7,0,20.452
"121",17.34,13.4,22,0,17.939
"122",19.26,14.7,26.4,0,25.272
"123",21.04,15.8,26.3,0,28.049
"124",19.96,17.9,22.3,1,25.317
"125",18.14,16.6,20.8,9.9,21.826
"126",17.76,15.9,20.4,0,20.68
"127",17.8,15.8,21.7,0,19.143
"128",16.14,13.9,19.2,0,18.146
"129",18.04,13.7,26.1,0,25.489
"130",16.94,13.7,21,0,23.537
"131",17.86,15.7,20.6,22.2,16.956
"132",17.12,14.2,21.7,0,19.052
"133",16.34,14.7,18.9,2.8,17.287
"134",16.72,14.2,21,0,20.3
"135",16.84,13.6,21.5,0,20.538
"136",17.18,13.2,22.3,0,23.702
"137",18.26,15.4,22.4,0,28.411
"138",18.6,16.6,21.3,0,21.073
"139",18.64,17,22.9,0,24.215
"140",18.74,15.9,23.3,0.2,19.525
"141",19.46,16.3,25,0,20.786
"142",20.26,16.3,25.4,0,20.429
"143",19.94,15.9,24.4,0,27.25
"144",21.8,17.9,26.3,0,31.387
"145",22.06,17.5,27.4,0,26.075
"146",21.28,19.7,24.8,0,22.162
"147",22.94,19.7,27.1,0,24.258
"148",18.56,16.8,23.2,1.8,24.683
"149",17.68,15.3,21.9,7.2,21.245
"150",17.52,13.1,22.9,0,25.937
"151",16.28,13.6,18.4,5.6,26.081
"152",16.28,15.2,18,2.2,16.228
"153",16.04,15,17.5,0.5,20.106
"154",17.94,15,21.7,0,21.055
"155",18.36,14.6,24.1,0,22.772
"156",18.32,14.1,25.3,0,25.142
"157",19.66,13.8,26.1,0,31.129
"158",20.62,15.9,26.2,0,30.498
"159",20.86,15.2,26.4,0,26.15
"160",20.32,15.2,26,0,21.327
"161",20.54,15.5,26.2,0,22.008
"162",22.72,17.5,26.9,0,24.615
"163",18.8,16.9,23.5,0,22.375
"164",21.1,15.5,27.4,0,29.607
"165",22.76,18.1,27.3,0,32.983
"166",16.02,13.1,23.4,0,19.119
"167",14.82,12.1,18.1,9,21.029
"168",19.8,13.9,25.1,0,23.898
"169",19.88,15.8,26.2,0,24.534
"170",14.66,13.2,17.7,3.8,16.748
"171",15.82,12.5,20.4,0,23.055
"172",17.32,12.6,24.6,0,28.857
"173",18.54,13.1,24.6,0,23.022
"174",19.02,14.4,25.5,0,27.146
"175",14.54,13.9,18,3.8,17.241
"176",14.72,12.1,17.4,1,19.463
"177",15.26,12,20.9,0,21.86
"178",15.34,10.6,20.8,0,24.227
"179",15.48,11.2,21.8,0,27.594
"180",17.2,11,24.4,0,24.863
"181",19.36,13.2,25.1,0,20.161
"182",17.78,16.2,20.5,0,20.824
"183",17.2,15.1,19.9,1.6,19.727
"184",17.52,15.6,18.4,17.8,14.94
"185",14.94,10.9,21,15.2,24.632
"186",12.9,11,14.5,4.4,21.294
"187",15.78,11.3,20.6,0,18.448
"188",16.8,13.3,20.2,0,21.237
"189",17.02,14.9,18.7,4.5,19.849
"190",17.54,15.3,20.4,0,20.74
"191",19.24,14,25.4,0,25.698
"192",17.46,16,19.8,0,26.691
"193",20.32,14,27.4,3,33.298
"194",22.06,16.7,28.7,0,25.64
"195",23.3,18.4,29.3,0,23.937
"196",20.18,17.2,27.6,0,28.742
"197",19.88,16.2,25.8,0,21.748
"198",19.14,15.8,24.3,0,22.032
"199",20.2,18.2,23.8,0,24.827
"200",19.98,14.6,25.9,0,32.473
"201",20.56,14.9,25.1,0,20.62
"202",16.72,14,21.4,0,21.825
"203",14.52,12.8,16.1,0,14.343
"204",17.02,13.6,20.6,0,19.029
"205",18.46,14.3,25.8,0,21.104
"206",15.9,14.9,17.9,16.6,20.738
"207",16.82,13.6,22.9,2,25.233
"208",16.6,11,24.2,0,18.975
"209",16.46,11.6,24.5,0,19.64
"210",16.2,11,23.8,0,22.522
"211",16.76,11.3,26.7,0,24.227
"212",19.24,12.8,26.6,0,24.726
"213",19.78,14.3,26.4,0,32.467
"214",20.1,13.8,26.3,0,31.663
"215",21.16,14.9,26.9,0,25.867
"216",21.04,15.2,27.4,0,27.724
"217",20.96,15,27.2,0,22.039
"218",21.06,16.3,27.7,0,26.127
"219",22.08,15.5,28.9,0,26.58
"220",21.16,16,27.8,0,31.31
"221",19.62,15.6,26.2,0,33.517
"222",21.2,15.6,28,0,23.181
"223",19.6,15.2,27.2,0,24.183
"224",20.12,14.1,26.6,0,24.594
"225",20.42,14.1,28.1,0,22.61
"226",20.86,15.3,27.6,0,25.479
"227",21.44,15.6,27.8,0,29.621
"228",20.56,16.2,27.2,0,26.272
"229",21.58,15.3,28,0,22.541
"230",21.3,16.7,26.5,0,23.07
"231",20.74,17.3,28.3,0,26.021
"232",16.2,14.8,19.6,0,17.655
"233",16.84,13.2,22.1,1,23.243
"234",18.08,14.1,26.2,0,30.177
"235",20.22,13.5,30,0,27.518
"236",16.98,15.1,20.5,0,23.21
"237",16.98,14.3,20.5,2.4,21.092
"238",18.92,14.8,24,0.6,23.357
"239",16.1,13.8,19.8,2.6,17.888
"240",16.28,12.8,22.1,25,22.217
"241",18.46,12.2,26.7,0,31.681
"242",22.52,14.3,32,0,31.833
"243",24.54,16.6,32.2,0,28.441
"244",21.44,17.2,30.7,0,22.389
"245",16.1,14.1,20.2,0.4,20.681
"246",19.3,14.8,25,0,24.222
"247",16.66,15.2,19.3,0,19.345
"248",16.12,14.4,18.5,2.4,21.827
"249",16.48,13.3,19.9,0,23.566
"250",18.72,13.8,24.4,0.1,20.227
"251",17.08,15.8,19.2,23.6,17.075
"252",18.82,15.8,22.9,58,16.977
"253",18.92,13.9,25.6,0,21.525
"254",16.88,14.1,21.8,31.8,21.454
"255",14,12.8,15.6,27.6,21.814
"256",14.18,12.5,16.1,0,21.252
"257",16.46,13,22.5,0.2,20.464
"258",21.18,14.4,30.1,0,30.775
"259",25.24,17.2,32.6,0,25.343
"260",27.26,20.4,33,0,33.93
"261",28.06,21.3,34.5,0,26.311
"262",28,21.1,35.5,0,31.836
"263",23.6,19.2,33.3,0,34.695
"264",24.72,17.4,32.8,0,29.829
"265",25.7,18.9,33.3,0,26.362
"266",26.14,18.3,34,0,32.589
"267",28.3,20.5,35.3,0,30.345
"268",23.24,19.2,30.3,0,29.411
"269",20.58,18.2,24.9,28.6,29.637
"270",22.3,18.2,30.6,1.8,32.184
"271",21.22,17.5,23.6,27.2,17.731
"272",21.8,17.5,27.1,0,24.114
"273",21.52,18.6,27.6,0,28.034
"274",20.96,17.6,26.4,7.6,22.664
"275",24.74,19.3,32.7,0,27.488
"276",20.28,16.1,25,25,24.876
"277",18.6,17.1,21.3,0.2,24.862
"278",17.36,14.8,22.4,0,24.679
"279",18.26,14.6,24.7,0,22.304
"280",24.5,15.9,32.6,0,30.329
"281",26.56,19.3,34,0,33.182
"282",24.52,19.8,29,0,23.849
"283",23.06,19.6,28,0.3,33.33
"284",22.48,19.6,30,0,34.496
"285",22.76,19,29.6,0,26.249
"286",21.4,18.1,27.6,2.4,26.523
"287",23.62,18.2,28.5,0,26.793
"288",28.12,18.9,35.8,0,35.861
"289",26.24,21.3,35.7,0,27.387
"290",21.22,17.3,29.2,0,32.666
"291",16.76,15.5,19.2,0.1,22.199
"292",19.86,15.5,27.2,0,24
"293",26.3,17.2,35.3,0,27.871
"294",24.62,21.3,32,0,31.139
"295",19.9,17.7,22.8,14.6,23.065
"296",20.5,17.6,27.3,13.4,26.594
"297",17.94,16.2,21.2,0,27.657
"298",17.64,15.7,19.2,0,26.594
"299",20.86,16,28.5,28.4,28.084
"300",22,19.1,28.4,0.1,27.582
"301",20.42,18.6,23.9,0,24.862
"302",20.56,18.2,24.8,0,22.634
"303",23.86,19.1,31.2,0,31.649
"304",23.18,18.2,29.3,0,35.781
"305",20.22,18.7,22.4,27.2,24.429
"306",21.82,18.3,27.2,39.6,20.648
"307",21.86,19.5,25.6,3.4,22.741
"308",21.52,18.6,27.4,6.8,21.479
"309",21.8,18.2,24.8,39.3,23.134
"310",19.76,18,22.8,0,20.575
"311",18.3,16.8,20,1.2,24.33
"312",20.24,17.4,23.9,0.6,28.61
"313",22.98,18.7,29.5,4.4,28.456
"314",23.72,19.4,31.8,10.4,27.964
"315",26.2,19.8,32.7,0,29.569
"316",23.78,20.8,31.8,0,29.267
"317",22.78,19.4,29.6,0,28.647
"318",25.06,19.5,30.4,16.4,26.836
"319",23.06,19.8,29.7,8,29.386
"320",21.16,19.4,24.9,0,24.609
"321",21.76,17.7,29.7,0,26.964
"322",25.5,17.6,30.5,14.1,23.614
"323",26.16,23.3,30.4,0,22.96
"324",23.28,19.6,27,6.8,20.332
"325",19.44,17.2,24.4,7.2,30.392
"326",22.26,17.1,28.8,0,31.933
"327",20.8,19.6,23.6,13.6,21.662
"328",21.36,19.3,22.6,7,21.689
"329",21.26,19.3,24.8,0.4,25.119
"330",22.28,19,27.4,0,25.285
"331",22.28,17.6,28.4,0,28.979
"332",23.7,18.7,29.8,0,34.382
"333",22.38,20.5,26,17.4,30.617
"334",19.1,16.7,23.3,23.4,20.238
"335",20.1,16.4,25.8,0,24.529
"336",22.1,18.2,29.4,0,30.471
"337",22.44,20.2,26.1,0,28.405
"338",22.76,19,29.1,0,29.513
"339",24.8,19.5,30.6,0.1,32.451
"340",23.12,20.6,28,0.1,32.78
"341",20.04,18,23.9,47.8,23.375
"342",21.7,18,28,0,27.713
"343",23.96,19.6,27.9,0,27.137
"344",24,22.2,27.7,0,22.933
"345",24.04,20.7,30.3,0,30.74
"346",23.92,20.6,30.8,0,29.579
"347",24.54,19.3,31,12.2,29.188
"348",26.28,21.1,32.5,2,28.131
"349",25.66,20.6,32.8,4,28.617
"350",22.04,20.7,24.8,1.5,21.062
"351",23.32,18.9,28.7,0,24.337
"352",26.42,19.6,33.5,0.1,27.042
"353",23.74,19.8,31.3,1.3,32.536
"354",22.84,19.6,29,8.4,30.127
"355",23.12,19.6,29.1,27.2,24.834
"356",24.6,19.6,32.4,43,26.828
"357",27.46,22.1,32.4,3,26.468
"358",24.72,20.5,31.5,3.4,31.572
"359",23.58,17.8,31,39,26.308
"360",23.34,17.8,29.8,94.8,21.955
"361",24,21.1,28.2,13.6,32.307
"362",22.64,21.1,26.7,0,26.095
"363",21.68,20.3,24.1,10.3,22.309
"364",21.38,19.3,22.4,6.3,20.467
"365",24.76,20.2,29,0,22.446
